Filename=;TargetAz=;MeasuredDepression=
 hb03333.0001;185,512527;15,078125
 hb03334.0001;190,512527;15,167969
 hb03335.0001;195,512527;15,097656
 hb03337.0001;218,512527;15,066406
 hb03338.0001;223,512527;14,933594
 hb03340.0001;233,512527;15,234375
 hb03341.0001;238,512527;15,195313
 hb03342.0001;243,512527;15,066406
 hb03343.0001;248,512527;14,988281
 hb03344.0001;253,512527;15,082031
 hb03347.0001;268,512543;15,117188
 hb03348.0001;273,512543;15,078125
 hb03351.0001;288,512543;15,0625
 hb03352.0001;293,512543;14,980469
 hb03353.0001;303,512543;15,050781
 hb03354.0001;308,512543;15,089844
 hb03355.0001;328,512543;15,144531
 hb03356.0001;333,512543;15,199219
 hb03358.0001;343,512543;15,210938
 hb03361.0001;358,512543;15,265625
 hb03363.0001;18,512529;15,164063
 hb03364.0001;28,512529;14,972656
 hb03365.0001;33,512527;14,855469
 hb03366.0001;38,512527;14,867188
 hb03367.0001;43,512527;15,007813
 hb03368.0001;48,512527;15,089844
 hb03375.0001;83,512527;14,910156
 hb03376.0001;88,512527;14,894531
 hb03377.0001;93,512527;14,851563
 hb03379.0001;103,512527;14,929688
 hb03380.0001;108,512527;14,890625
 hb03381.0001;113,512527;14,835938
 hb03382.0001;118,512527;14,855469
 hb03383.0001;123,512527;14,945313
 hb03384.0001;128,512527;14,996094
 hb03385.0001;133,512527;15,023438
 hb03386.0001;138,512527;15,03125
 hb03387.0001;143,512527;15,007813
 hb03395.0001;184,512527;15,246094
 hb03397.0001;199,512527;15,296875
 hb03398.0001;204,512527;15,433594
 hb03399.0001;209,512527;15,296875
 hb03400.0001;214,512527;15,226563
 hb03401.0001;219,512527;15,164063
 hb03402.0001;224,512527;15,117188
 hb03403.0001;234,512527;15,113281
 hb03405.0001;244,512527;14,988281
 hb03406.0001;249,512527;15,15625
 hb03407.0001;254,512527;15,222656
 hb03410.0001;269,512543;15,144531
 hb03414.0001;289,512543;15,136719
 hb03415.0001;294,512543;15,132813
 hb03416.0001;309,512543;15,082031
 hb03417.0001;319,512543;15,121094
 hb03418.0001;324,512543;15,253906
 hb03420.0001;344,512543;15,179688
 hb03422.0001;4,512529;15,078125
 hb03423.0001;14,512529;15,25
 hb03424.0001;19,512529;15,074219
 hb03426.0001;39,512527;15,167969
 hb03427.0001;44,512527;15,136719
 hb03428.0001;49,512527;15,136719
 hb03429.0001;54,512527;15,105469
 hb03434.0001;84,512527;15,085938
 hb03435.0001;89,512527;15,109375
 hb03436.0001;94,512527;15,085938
 hb03437.0001;99,512527;14,96875
 hb03438.0001;104,512527;14,902344
 hb03439.0001;109,512527;14,882813
 hb03440.0001;114,512527;14,929688
 hb03441.0001;119,512527;15,117188
 hb03442.0001;124,512527;15,234375
 hb03443.0001;129,512527;15,203125
 hb03444.0001;134,512527;15,117188
 hb03445.0001;139,512527;15,089844
 hb03446.0001;144,512527;15,09375
 hb04933.0001;301,512543;15,152344
 hb04934.0001;311,512543;14,949219
 hb04936.0001;321,512543;15,289063
 hb04938.0001;331,512543;14,980469
 hb04940.0001;346,512543;14,859375
 hb04945.0001;11,512529;14,8125
 hb04946.0001;16,512529;14,796875
 hb04947.0001;21,512529;14,757813
 hb04949.0001;31,512529;14,894531
 hb04950.0001;36,512527;15
 hb04951.0001;41,512527;15,273438
 hb04952.0001;46,512527;15,316406
 hb04954.0001;56,512527;15,203125
 hb04957.0001;71,512527;14,996094
 hb04958.0001;76,512527;15,09375
 hb04959.0001;81,512527;15,226563
 hb04961.0001;91,512527;15,277344
 hb04963.0001;101,512527;14,949219
 hb04965.0001;111,512527;15,136719
 hb04967.0001;121,512527;14,710938
 hb04968.0001;126,512527;14,800781
 hb04971.0001;141,512527;14,722656
 hb04973.0001;151,512527;14,886719
 hb04975.0001;161,512527;15,125
 hb04976.0001;166,512527;14,976563
 hb04977.0001;177,512527;15,046875
 hb04978.0001;182,512527;15,140625
 hb04980.0001;192,512527;14,882813
 hb04982.0001;202,512527;14,914063
 hb04984.0001;212,512527;15,054688
 hb04985.0001;217,512527;15,070313
 hb04986.0001;222,512527;14,890625
 hb04987.0001;227,512527;14,953125
 hb04988.0001;232,512527;15,113281
 hb04989.0001;237,512527;15
 hb04992.0001;252,512527;15,019531
 hb04993.0001;262,512543;15,109375
 hb04997.0001;287,512543;14,9375
 hb04998.0001;292,512543;14,992188
 hb04999.0001;297,512543;14,824219
 hb05000.0001;302,512543;14,90625
 hb05001.0001;307,512543;15,050781
 hb05002.0001;312,512543;14,976563
 hb05003.0001;317,512543;14,898438
 hb05004.0001;322,512543;15,121094
 hb05006.0001;332,512543;14,96875
 hb05008.0001;342,512543;15,179688
 hb05009.0001;347,512543;14,824219
 hb05011.0001;357,512543;14,953125
 hb05012.0001;2,512529;14,921875
 hb05014.0001;12,512529;14,847656
 hb05015.0001;17,512529;14,808594
 hb05016.0001;22,512529;14,90625
 hb05017.0001;27,512529;14,773438
 hb05019.0001;37,512527;14,824219
 hb05022.0001;52,512527;15,246094
 hb05024.0001;62,512527;15,382813
 hb05025.0001;67,512527;15,320313
 hb05026.0001;72,512527;15,308594
 hb05027.0001;77,512527;15,332031
 hb05028.0001;82,512527;15,21875
 hb05029.0001;87,512527;15,128906
 hb05030.0001;92,512527;15,171875
 hb05032.0001;102,512527;15,230469
 hb05033.0001;107,512527;15,238281
 hb05034.0001;112,512527;15,175781
 hb05035.0001;117,512527;15,265625
 hb05036.0001;122,512527;15,300781
 hb05038.0001;142,512527;15,398438
 hb05040.0001;152,512527;15,324219
 hb05041.0001;157,512527;15,242188
 hb05043.0001;167,512527;14,945313
 hb05609.0001;180,512527;15,085938
 hb05610.0001;185,512527;15,082031
 hb05611.0001;190,512527;15,070313
 hb05612.0001;200,512527;14,921875
 hb05614.0001;210,512527;15,152344
 hb05616.0001;220,512527;15,136719
 hb05618.0001;230,512527;15,074219
 hb05619.0001;235,512527;15,179688
 hb05620.0001;240,512527;15,101563
 hb05629.0001;290,512543;15,027344
 hb05630.0001;295,512543;15,070313
 hb05631.0001;300,512543;14,992188
 hb05632.0001;305,512543;14,9375
 hb05634.0001;315,512543;15,171875
 hb05635.0001;320,512543;15,105469
 hb05637.0001;330,512543;15,132813
 hb05642.0001;5,512529;15,078125
 hb05643.0001;10,512529;15,007813
 hb05647.0001;40,512527;14,972656
 hb05648.0001;45,512527;15,144531
 hb05649.0001;50,512527;15,117188
 hb05650.0001;55,512527;15,117188
 hb05651.0001;60,512527;15,179688
 hb05652.0001;65,512527;15,242188
 hb05653.0001;70,512527;15,144531
 hb05654.0001;80,512527;15,171875
 hb05657.0001;95,512527;15,078125
 hb05658.0001;105,512527;15,011719
 hb05659.0001;110,512527;15,039063
 hb05660.0001;115,512527;15,054688
 hb05661.0001;120,512527;15,015625
 hb05662.0001;125,512527;14,898438
 hb05664.0001;135,512527;14,949219
 hb05665.0001;140,512527;14,964844
 hb05667.0001;150,512527;14,828125
 hb05669.0001;160,512527;14,878906
 hb05670.0001;170,512527;14,957031
 hb05671.0001;186,512527;14,949219
 hb05672.0001;191,512527;14,859375
 hb05674.0001;201,512527;14,984375
 hb05675.0001;211,512527;15,121094
 hb05676.0001;216,512527;15,1875
 hb05677.0001;221,512527;15,160156
 hb05679.0001;231,512527;15,074219
 hb05680.0001;236,512527;15,152344
 hb05681.0001;241,512527;15,238281
 hb05683.0001;251,512527;15,1875
 hb05684.0001;256,512543;15,230469
 hb03787.0001;315,512543;17,09375
 hb03788.0001;320,512543;17,09375
 hb03790.0001;355,512543;17,363281
 hb03792.0001;5,512529;17,089844
 hb03793.0001;15,512529;16,972656
 hb03794.0001;20,512529;17,035156
 hb03796.0001;45,512527;16,949219
 hb03797.0001;50,512527;16,859375
 hb03798.0001;60,512527;16,742188
 hb03799.0001;65,512527;16,78125
 hb03800.0001;70,512527;16,757813
 hb03801.0001;75,512527;16,757813
 hb03802.0001;80,512527;16,894531
 hb03803.0001;85,512527;16,945313
 hb03804.0001;95,512527;16,824219
