Filename=;TargetAz=;MeasuredDepression=
 hb03333.0002;243,191422;15,078125
 hb03334.0002;248,191422;15,167969
 hb03335.0002;253,191422;15,097656
 hb03337.0002;276,191406;15,066406
 hb03338.0002;281,191406;14,933594
 hb03340.0002;291,191406;15,234375
 hb03341.0002;296,191406;15,195313
 hb03342.0002;301,191406;15,066406
 hb03343.0002;306,191406;14,988281
 hb03344.0002;311,191406;15,082031
 hb03347.0002;326,191406;15,117188
 hb03348.0002;331,191406;15,078125
 hb03351.0002;346,191406;15,0625
 hb03352.0002;351,191406;14,980469
 hb03353.0002;1,191422;15,050781
 hb03354.0002;6,191422;15,089844
 hb03355.0002;26,191422;15,144531
 hb03356.0002;31,191422;15,199219
 hb03358.0002;41,191422;15,210938
 hb03361.0002;56,191422;15,265625
 hb03363.0002;76,191422;15,164063
 hb03364.0002;86,191422;14,972656
 hb03365.0002;91,191422;14,855469
 hb03366.0002;96,191422;14,867188
 hb03367.0002;101,191422;15,007813
 hb03368.0002;106,191422;15,089844
 hb03375.0002;141,191422;14,910156
 hb03376.0002;146,191422;14,894531
 hb03377.0002;151,191422;14,851563
 hb03379.0002;161,191422;14,929688
 hb03380.0002;166,191422;14,890625
 hb03381.0002;171,191422;14,835938
 hb03382.0002;176,191422;14,855469
 hb03383.0002;181,191422;14,945313
 hb03384.0002;186,191422;14,996094
 hb03385.0002;191,191422;15,023438
 hb03386.0002;196,191422;15,03125
 hb03387.0002;201,191422;15,007813
 hb03395.0002;242,191422;15,246094
 hb03397.0002;257,191406;15,296875
 hb03398.0002;262,191406;15,433594
 hb03399.0002;267,191406;15,296875
 hb03400.0002;272,191406;15,226563
 hb03401.0002;277,191406;15,164063
 hb03402.0002;282,191406;15,117188
 hb03403.0002;292,191406;15,113281
 hb03405.0002;302,191406;14,988281
 hb03406.0002;307,191406;15,15625
 hb03407.0002;312,191406;15,222656
 hb03410.0002;327,191406;15,144531
 hb03414.0002;347,191406;15,136719
 hb03415.0002;352,191406;15,132813
 hb03416.0002;7,191422;15,082031
 hb03417.0002;17,191422;15,121094
 hb03418.0002;22,191422;15,253906
 hb03420.0002;42,191422;15,179688
 hb03422.0002;62,191422;15,078125
 hb03423.0002;72,191422;15,25
 hb03424.0002;77,191422;15,074219
 hb03426.0002;97,191422;15,167969
 hb03427.0002;102,191422;15,136719
 hb03428.0002;107,191422;15,136719
 hb03429.0002;112,191422;15,105469
 hb03434.0002;142,191422;15,085938
 hb03435.0002;147,191422;15,109375
 hb03436.0002;152,191422;15,085938
 hb03437.0002;157,191422;14,96875
 hb03438.0002;162,191422;14,902344
 hb03439.0002;167,191422;14,882813
 hb03440.0002;172,191422;14,929688
 hb03441.0002;177,191422;15,117188
 hb03442.0002;182,191422;15,234375
 hb03443.0002;187,191422;15,203125
 hb03444.0002;192,191422;15,117188
 hb03445.0002;197,191422;15,089844
 hb03446.0002;202,191422;15,09375
 hb04933.0002;359,191406;15,152344
 hb04934.0002;9,191422;14,949219
 hb04936.0002;19,191422;15,289063
 hb04938.0002;29,191422;14,980469
 hb04940.0002;44,191422;14,859375
 hb04945.0002;69,191422;14,8125
 hb04946.0002;74,191422;14,796875
 hb04947.0002;79,191422;14,757813
 hb04949.0002;89,191422;14,894531
 hb04950.0002;94,191422;15
 hb04951.0002;99,191422;15,273438
 hb04952.0002;104,191422;15,316406
 hb04954.0002;114,191422;15,203125
 hb04957.0002;129,191422;14,996094
 hb04958.0002;134,191422;15,09375
 hb04959.0002;139,191422;15,226563
 hb04961.0002;149,191422;15,277344
 hb04963.0002;159,191422;14,949219
 hb04965.0002;169,191422;15,136719
 hb04967.0002;179,191422;14,710938
 hb04968.0002;184,191422;14,800781
 hb04971.0002;199,191422;14,722656
 hb04973.0002;209,191422;14,886719
 hb04975.0002;219,191422;15,125
 hb04976.0002;224,191422;14,976563
 hb04977.0002;235,191422;15,046875
 hb04978.0002;240,191422;15,140625
 hb04980.0002;250,191422;14,882813
 hb04982.0002;260,191406;14,914063
 hb04984.0002;270,191406;15,054688
 hb04985.0002;275,191406;15,070313
 hb04986.0002;280,191406;14,890625
 hb04987.0002;285,191406;14,953125
 hb04988.0002;290,191406;15,113281
 hb04989.0002;295,191406;15
 hb04992.0002;310,191406;15,019531
 hb04993.0002;320,191406;15,109375
 hb04997.0002;345,191406;14,9375
 hb04998.0002;350,191406;14,992188
 hb04999.0002;355,191406;14,824219
 hb05000.0002;0,191422;14,90625
 hb05001.0002;5,191422;15,050781
 hb05002.0002;10,191422;14,976563
 hb05003.0002;15,191422;14,898438
 hb05004.0002;20,191422;15,121094
 hb05006.0002;30,191422;14,96875
 hb05008.0002;40,191422;15,179688
 hb05009.0002;45,191422;14,824219
 hb05011.0002;55,191422;14,953125
 hb05012.0002;60,191422;14,921875
 hb05014.0002;70,191422;14,847656
 hb05015.0002;75,191422;14,808594
 hb05016.0002;80,191422;14,90625
 hb05017.0002;85,191422;14,773438
 hb05019.0002;95,191422;14,824219
 hb05022.0002;110,191422;15,246094
 hb05024.0002;120,191422;15,382813
 hb05025.0002;125,191422;15,320313
 hb05026.0002;130,191422;15,308594
 hb05027.0002;135,191422;15,332031
 hb05028.0002;140,191422;15,21875
 hb05029.0002;145,191422;15,128906
 hb05030.0002;150,191422;15,171875
 hb05032.0002;160,191422;15,230469
 hb05033.0002;165,191422;15,238281
 hb05034.0002;170,191422;15,175781
 hb05035.0002;175,191422;15,265625
 hb05036.0002;180,191422;15,300781
 hb05038.0002;200,191422;15,398438
 hb05040.0002;210,191422;15,324219
 hb05041.0002;215,191422;15,242188
 hb05043.0002;225,191422;14,945313
 hb05609.0002;238,191422;15,085938
 hb05610.0002;243,191422;15,082031
 hb05611.0002;248,191422;15,070313
 hb05612.0002;258,191406;14,921875
 hb05614.0002;268,191406;15,152344
 hb05616.0002;278,191406;15,136719
 hb05618.0002;288,191406;15,074219
 hb05619.0002;293,191406;15,179688
 hb05620.0002;298,191406;15,101563
 hb05629.0002;348,191406;15,027344
 hb05630.0002;353,191406;15,070313
 hb05631.0002;358,191406;14,992188
 hb05632.0002;3,191422;14,9375
 hb05634.0002;13,191422;15,171875
 hb05635.0002;18,191422;15,105469
 hb05637.0002;28,191422;15,132813
 hb05642.0002;63,191422;15,078125
 hb05643.0002;68,191422;15,007813
 hb05647.0002;98,191422;14,972656
 hb05648.0002;103,191422;15,144531
 hb05649.0002;108,191422;15,117188
 hb05650.0002;113,191422;15,117188
 hb05651.0002;118,191422;15,179688
 hb05652.0002;123,191422;15,242188
 hb05653.0002;128,191422;15,144531
 hb05654.0002;138,191422;15,171875
 hb05657.0002;153,191422;15,078125
 hb05658.0002;163,191422;15,011719
 hb05659.0002;168,191422;15,039063
 hb05660.0002;173,191422;15,054688
 hb05661.0002;178,191422;15,015625
 hb05662.0002;183,191422;14,898438
 hb05664.0002;193,191422;14,949219
 hb05665.0002;198,191422;14,964844
 hb05667.0002;208,191422;14,828125
 hb05669.0002;218,191422;14,878906
 hb05670.0002;228,191422;14,957031
 hb05671.0002;244,191422;14,949219
 hb05672.0002;249,191422;14,859375
 hb05674.0002;259,191406;14,984375
 hb05675.0002;269,191406;15,121094
 hb05676.0002;274,191406;15,1875
 hb05677.0002;279,191406;15,160156
 hb05679.0002;289,191406;15,074219
 hb05680.0002;294,191406;15,152344
 hb05681.0002;299,191406;15,238281
 hb05683.0002;309,191406;15,1875
 hb05684.0002;314,191406;15,230469
 hb03787.0002;13,191422;17,09375
 hb03788.0002;18,191422;17,09375
 hb03790.0002;53,191422;17,363281
 hb03792.0002;63,191422;17,089844
 hb03793.0002;73,191422;16,972656
 hb03794.0002;78,191422;17,035156
 hb03796.0002;103,191422;16,949219
 hb03797.0002;108,191422;16,859375
 hb03798.0002;118,191422;16,742188
 hb03799.0002;123,191422;16,78125
 hb03800.0002;128,191422;16,757813
 hb03801.0002;133,191422;16,757813
 hb03802.0002;138,191422;16,894531
 hb03803.0002;143,191422;16,945313
 hb03804.0002;153,191422;16,824219
 hb03805.0002;158,191422;16,78125
 hb03806.0002;163,191422;16,820313
 hb03807.0002;173,191422;16,890625
 hb03808.0002;178,191422;16,816406
 hb03809.0002;183,191422;16,800781
 hb03810.0002;188,191422;16,847656
 hb03811.0002;193,191422;16,941406
 hb03812.0002;198,191422;16,902344
 hb03813.0002;203,191422;16,75
 hb03814.0002;208,191422;16,773438
 hb03815.0002;223,191422;17,132813
 hb03817.0002;239,191422;16,804688
 hb03818.0002;244,191422;16,871094
 hb03819.0002;249,191422;17,132813
 hb03820.0002;254,191422;17,414063
 hb03821.0002;259,191406;17,417969
 hb03822.0002;264,191406;17,210938
 hb03823.0002;269,191406;16,941406
 hb03824.0002;274,191406;16,859375
 hb03825.0002;279,191406;16,96875
 hb03826.0002;284,191406;17,050781
 hb03827.0002;289,191406;17,214844
 hb03828.0002;294,191406;17,382813
 hb03829.0002;299,191406;17,371094
 hb03830.0002;304,191406;17,367188
 hb03831.0002;309,191406;17,367188
 hb03832.0002;319,191406;17,304688
 hb03833.0002;339,191406;17,324219
 hb03834.0002;344,191406;17,253906
 hb03836.0002;359,191406;17,320313
 hb03837.0002;4,191422;17,335938
 hb03838.0002;9,191422;17,164063
 hb03839.0002;19,191422;17,152344
 hb03840.0002;24,191422;17,289063
 hb03841.0002;29,191422;17,425781
 hb03842.0002;34,191422;17,382813
 hb03843.0002;39,191422;17,285156
 hb03844.0002;44,191422;17,238281
 hb03846.0002;54,191422;17,363281
 hb03847.0002;59,191422;17,089844
 hb03848.0002;64,191422;17,089844
 hb03849.0002;69,191422;17,253906
 hb03850.0002;74,191422;17,40625
 hb03851.0002;89,191422;17,035156
 hb03852.0002;94,191422;17,0625
 hb03854.0002;109,191422;16,933594
 hb03855.0002;114,191422;17
 hb03856.0002;119,191422;17,078125
 hb03857.0002;124,191422;17,070313
 hb03858.0002;129,191422;17,046875
 hb03859.0002;134,191422;17,050781
 hb03860.0002;139,191422;17,046875
 hb03862.0002;154,191422;17,191406
 hb03863.0002;159,191422;17,179688
 hb03864.0002;164,191422;17,082031
 hb03865.0002;169,191422;17,007813
 hb03866.0002;174,191422;17,042969
 hb03867.0002;179,191422;17,097656
 hb03868.0002;184,191422;17,136719
 hb03869.0002;189,191422;17,132813
 hb03870.0002;194,191422;17,101563
 hb03871.0002;199,191422;17,105469
 hb03872.0002;204,191422;17,128906
 hb03873.0002;209,191422;17,066406
 hb03874.0002;219,191422;17,039063
 hb03875.0002;224,191422;17,105469
 hb03876.0002;270,191406;17,3125
 hb03877.0002;275,191406;17,230469
 hb03878.0002;280,191406;17,265625
 hb03879.0002;285,191406;17,375
 hb03880.0002;290,191406;17,328125
 hb03881.0002;295,191406;17,316406
 hb03882.0002;300,191406;17,265625
 hb03883.0002;310,191406;17,199219
 hb03884.0002;315,191406;17,183594
 hb03885.0002;320,191406;17,167969
 hb03886.0002;325,191406;17,1875
 hb03887.0002;330,191406;17,164063
 hb03889.0002;340,191406;17,113281
 hb03890.0002;345,191406;17,296875
 hb03891.0002;350,191406;17,300781
 hb03892.0002;355,191406;17,152344
 hb03893.0002;0,191422;17,140625
 hb03894.0002;5,191422;17,207031
 hb03895.0002;15,191422;16,992188
 hb03896.0002;20,191422;17,195313
 hb03897.0002;25,191422;17,359375
 hb03898.0002;30,191422;17,1875
 hb03900.0002;40,191422;17,128906
 hb03901.0002;45,191422;17,203125
 hb03902.0002;50,191422;17,09375
 hb03903.0002;55,191422;16,933594
 hb03904.0002;60,191422;16,933594
 hb03905.0002;65,191422;17,046875
 hb03906.0002;70,191422;17,039063
 hb03907.0002;75,191422;16,917969
 hb03908.0002;85,191422;16,960938
 hb03909.0002;90,191422;16,964844
 hb03910.0002;95,191422;16,855469
 hb03911.0002;100,191422;16,761719
 hb03912.0002;105,191422;16,867188
 hb03913.0002;110,191422;16,917969
 hb03914.0002;115,191422;16,957031
 hb03915.0002;120,191422;16,992188
 hb03916.0002;125,191422;16,902344
 hb03917.0002;135,191422;16,964844
 hb03918.0002;140,191422;17,046875
 hb03919.0002;145,191422;17,019531
 hb03920.0002;150,191422;16,972656
 hb03922.0002;160,191422;16,957031
 hb03923.0002;165,191422;16,996094
 hb03924.0002;170,191422;17,097656
 hb03925.0002;175,191422;17,214844
 hb03926.0002;180,191422;17,203125
 hb03927.0002;185,191422;17,066406
 hb03928.0002;190,191422;16,945313
 hb03929.0002;195,191422;16,949219
 hb03930.0002;200,191422;17,054688
 hb03931.0002;205,191422;17,074219
 hb03932.0002;210,191422;16,980469
 hb03933.0002;215,191422;16,980469
 hb03934.0002;220,191422;17,117188
 hb03935.0002;230,191422;17,011719
 hb03936.0002;236,191422;17,003906
 hb03938.0002;251,191422;16,835938
 hb03939.0002;256,191406;16,863281
 hb03940.0002;261,191406;17,101563
 hb03941.0002;266,191406;17,148438
 hb03942.0002;271,191406;17,128906
 hb03943.0002;276,191406;17,082031
 hb03944.0002;281,191406;16,941406
 hb03945.0002;286,191406;17,039063
 hb03946.0002;291,191406;17,167969
 hb03947.0002;296,191406;17,273438
 hb03948.0002;301,191406;17,1875
 hb03949.0002;306,191406;17,066406
 hb03950.0002;311,191406;17,019531
 hb03951.0002;316,191406;17,148438
 hb03952.0002;321,191406;17,195313
 hb03953.0002;326,191406;17,136719
 hb03954.0002;331,191406;17,167969
 hb03955.0002;336,191406;17,179688
 hb03956.0002;341,191406;17
 hb03957.0002;346,191406;16,90625
 hb03958.0002;351,191406;17,082031
 hb03959.0002;356,191406;17,085938
 hb03960.0002;1,191422;17,027344
 hb03962.0002;16,191422;17,152344
 hb03963.0002;21,191422;17,140625
 hb03964.0002;26,191422;17,035156
 hb03965.0002;31,191422;16,953125
 hb03967.0002;41,191422;17,183594
 hb03968.0002;46,191422;17,222656
 hb03969.0002;51,191422;17,199219
 hb03970.0002;56,191422;17,027344
 hb03971.0002;61,191422;16,808594
 hb03972.0002;66,191422;16,769531
 hb03973.0002;71,191422;16,949219
 hb03974.0002;76,191422;17,089844
 hb03975.0002;81,191422;17,054688
 hb03976.0002;86,191422;16,929688
 hb03977.0002;91,191422;16,988281
 hb03978.0002;96,191422;17,148438
 hb03979.0002;101,191422;17,15625
 hb03980.0002;106,191422;17
 hb03981.0002;111,191422;16,941406
 hb03982.0002;116,191422;16,980469
 hb03983.0002;121,191422;16,957031
 hb03985.0002;146,191422;16,945313
 hb03986.0002;151,191422;17,058594
 hb03987.0002;156,191422;17,222656
 hb03988.0002;161,191422;17,25
 hb03989.0002;171,191422;17,113281
 hb03990.0002;176,191422;17,15625
 hb03991.0002;181,191422;17,25
 hb03992.0002;186,191422;17,15625
 hb03993.0002;196,191422;17,058594
 hb03994.0002;201,191422;17,253906
 hb03995.0002;206,191422;17,355469
 hb03998.0002;221,191422;16,941406
 hb04000.0002;231,191422;17,007813
 hb04001.0002;237,191422;16,96875
 hb04002.0002;242,191422;17
