,TargetAz=,MeasuredDepression=
HB03333.004,172.006775,15.078125
HB03334.004,177.006775,15.167969
HB03335.004,182.006775,15.097656
HB03337.004,205.006775,15.066406
HB03338.004,210.006775,14.933594
HB03340.004,220.006775,15.234375
HB03341.004,225.006775,15.195313
HB03342.004,230.006775,15.066406
HB03343.004,235.006775,14.988281
HB03344.004,240.006775,15.082031
HB03347.004,255.006775,15.117188
HB03348.004,260.006775,15.078125
HB03351.004,275.006775,15.0625
HB03352.004,280.006775,14.980469
HB03353.004,290.006775,15.050781
HB03354.004,295.006775,15.089844
HB03355.004,315.006775,15.144531
HB03356.004,320.006775,15.199219
HB03358.004,330.006775,15.210938
HB03361.004,345.006775,15.265625
HB03363.004,5.006783,15.164063
HB03364.004,15.006783,14.972656
HB03365.004,20.006783,14.855469
HB03366.004,25.006783,14.867188
HB03367.004,30.006783,15.007813
HB03368.004,35.006783,15.089844
HB03375.004,70.006783,14.910156
HB03376.004,75.006783,14.894531
HB03377.004,80.006783,14.851563
HB03379.004,90.006783,14.929688
HB03380.004,95.006783,14.890625
HB03381.004,100.006783,14.835938
HB03382.004,105.006783,14.855469
HB03383.004,110.006783,14.945313
HB03384.004,115.006783,14.996094
HB03385.004,120.006783,15.023438
HB03386.004,125.006783,15.03125
HB03387.004,130.006775,15.007813
HB03395.004,171.006775,15.246094
HB03397.004,186.006775,15.296875
HB03398.004,191.006775,15.433594
HB03399.004,196.006775,15.296875
HB03400.004,201.006775,15.226563
HB03401.004,206.006775,15.164063
HB03402.004,211.006775,15.117188
HB03403.004,221.006775,15.113281
HB03405.004,231.006775,14.988281
HB03406.004,236.006775,15.15625
HB03407.004,241.006775,15.222656
HB03410.004,256.006775,15.144531
HB03414.004,276.006775,15.136719
HB03415.004,281.006775,15.132813
HB03416.004,296.006775,15.082031
HB03417.004,306.006775,15.121094
HB03418.004,311.006775,15.253906
HB03420.004,331.006775,15.179688
HB03422.004,351.006775,15.078125
HB03423.004,1.006783,15.25
HB03424.004,6.006783,15.074219
HB03426.004,26.006783,15.167969
HB03427.004,31.006783,15.136719
HB03428.004,36.006783,15.136719
HB03429.004,41.006783,15.105469
HB03434.004,71.006783,15.085938
HB03435.004,76.006783,15.109375
HB03436.004,81.006783,15.085938
HB03437.004,86.006783,14.96875
HB03438.004,91.006783,14.902344
HB03439.004,96.006783,14.882813
HB03440.004,101.006783,14.929688
HB03441.004,106.006783,15.117188
HB03442.004,111.006783,15.234375
HB03443.004,116.006783,15.203125
HB03444.004,121.006783,15.117188
HB03445.004,126.006783,15.089844
HB03446.004,131.006775,15.09375
HB04933.004,288.006775,15.152344
HB04934.004,298.006775,14.949219
HB04936.004,308.006775,15.289063
HB04938.004,318.006775,14.980469
HB04940.004,333.006775,14.859375
HB04945.004,358.006775,14.8125
HB04946.004,3.006783,14.796875
HB04947.004,8.006783,14.757813
HB04949.004,18.006783,14.894531
HB04950.004,23.006783,15
HB04951.004,28.006783,15.273438
HB04952.004,33.006783,15.316406
HB04954.004,43.006783,15.203125
HB04957.004,58.006783,14.996094
HB04958.004,63.006783,15.09375
HB04959.004,68.006783,15.226563
HB04961.004,78.006783,15.277344
HB04963.004,88.006783,14.949219
HB04965.004,98.006783,15.136719
HB04967.004,108.006783,14.710938
HB04968.004,113.006783,14.800781
HB04971.004,128.006775,14.722656
HB04973.004,138.006775,14.886719
HB04975.004,148.006775,15.125
HB04976.004,153.006775,14.976563
HB04977.004,164.006775,15.046875
