RealFilename,TargetAz=,MeasuredDepression=
HB03333.015,240.790649,15.078125
HB03334.015,245.790649,15.167969
HB03335.015,250.790649,15.097656
HB03337.015,273.790649,15.066406
HB03338.015,278.790649,14.933594
HB03340.015,288.790649,15.234375
HB03341.015,293.790649,15.195313
HB03342.015,298.790649,15.066406
HB03343.015,303.790649,14.988281
HB03344.015,308.790649,15.082031
HB03347.015,323.790649,15.117188
HB03348.015,328.790649,15.078125
HB03351.015,343.790649,15.0625
HB03352.015,348.790649,14.980469
HB03353.015,358.790649,15.050781
HB03354.015,3.790657,15.089844
HB03355.015,23.790657,15.144531
HB03356.015,28.790657,15.199219
HB03358.015,38.790657,15.210938
HB03361.015,53.790657,15.265625
HB03363.015,73.790657,15.164063
HB03364.015,83.790657,14.972656
HB03365.015,88.790657,14.855469
HB03366.015,93.790657,14.867188
HB03367.015,98.790657,15.007813
HB03368.015,103.790657,15.089844
HB03375.015,138.790649,14.910156
HB03376.015,143.790649,14.894531
HB03377.015,148.790649,14.851563
HB03379.015,158.790649,14.929688
HB03380.015,163.790649,14.890625
HB03381.015,168.790649,14.835938
HB03382.015,173.790649,14.855469
HB03383.015,178.790649,14.945313
HB03384.015,183.790649,14.996094
HB03385.015,188.790649,15.023438
HB03386.015,193.790649,15.03125
HB03387.015,198.790649,15.007813
HB03395.015,239.790649,15.246094
HB03397.015,254.790649,15.296875
HB03398.015,259.790649,15.433594
HB03399.015,264.790649,15.296875
HB03400.015,269.790649,15.226563
HB03401.015,274.790649,15.164063
HB03402.015,279.790649,15.117188
HB03403.015,289.790649,15.113281
HB03405.015,299.790649,14.988281
HB03406.015,304.790649,15.15625
HB03407.015,309.790649,15.222656
HB03410.015,324.790649,15.144531
HB03414.015,344.790649,15.136719
HB03415.015,349.790649,15.132813
HB03416.015,4.790657,15.082031
HB03417.015,14.790657,15.121094
HB03418.015,19.790657,15.253906
HB03420.015,39.790657,15.179688
HB03422.015,59.790657,15.078125
HB03423.015,69.790657,15.25
HB03424.015,74.790657,15.074219
HB03426.015,94.790657,15.167969
HB03427.015,99.790657,15.136719
HB03428.015,104.790657,15.136719
HB03429.015,109.790657,15.105469
HB03434.015,139.790649,15.085938
HB03435.015,144.790649,15.109375
HB03436.015,149.790649,15.085938
HB03437.015,154.790649,14.96875
HB03438.015,159.790649,14.902344
HB03439.015,164.790649,14.882813
HB03440.015,169.790649,14.929688
HB03441.015,174.790649,15.117188
HB03442.015,179.790649,15.234375
HB03443.015,184.790649,15.203125
HB03444.015,189.790649,15.117188
HB03445.015,194.790649,15.089844
HB03446.015,199.790649,15.09375
HB04933.015,356.790649,15.152344
HB04934.015,6.790657,14.949219
HB04936.015,16.790657,15.289063
HB04938.015,26.790657,14.980469
HB04940.015,41.790657,14.859375
HB04945.015,66.790657,14.8125
HB04946.015,71.790657,14.796875
HB04947.015,76.790657,14.757813
HB04949.015,86.790657,14.894531
HB04950.015,91.790657,15
HB04951.015,96.790657,15.273438
HB04952.015,101.790657,15.316406
HB04954.015,111.790657,15.203125
HB04957.015,126.790657,14.996094
HB04958.015,131.790649,15.09375
HB04959.015,136.790649,15.226563
HB04961.015,146.790649,15.277344
HB04963.015,156.790649,14.949219
HB04965.015,166.790649,15.136719
HB04967.015,176.790649,14.710938
HB04968.015,181.790649,14.800781
HB04971.015,196.790649,14.722656
HB04973.015,206.790649,14.886719
HB04975.015,216.790649,15.125
HB04976.015,221.790649,14.976563
HB04977.015,232.790649,15.046875
HB04978.015,237.790649,15.140625
HB04980.015,247.790649,14.882813
HB04982.015,257.790649,14.914063
HB04984.015,267.790649,15.054688
HB04985.015,272.790649,15.070313
HB04986.015,277.790649,14.890625
HB04987.015,282.790649,14.953125
HB04988.015,287.790649,15.113281
HB04989.015,292.790649,15
HB04992.015,307.790649,15.019531
HB04993.015,317.790649,15.109375
HB04997.015,342.790649,14.9375
HB04998.015,347.790649,14.992188
HB04999.015,352.790649,14.824219
HB05000.015,357.790649,14.90625
HB05001.015,2.790657,15.050781
HB05002.015,7.790657,14.976563
HB05003.015,12.790657,14.898438
HB05004.015,17.790657,15.121094
HB05006.015,27.790657,14.96875
HB05008.015,37.790657,15.179688
HB05009.015,42.790657,14.824219
HB05011.015,52.790657,14.953125
HB05012.015,57.790657,14.921875
HB05014.015,67.790657,14.847656
HB05015.015,72.790657,14.808594
HB05016.015,77.790657,14.90625
HB05017.015,82.790657,14.773438
HB05019.015,92.790657,14.824219
HB05022.015,107.790657,15.246094
HB05024.015,117.790657,15.382813
HB05025.015,122.790657,15.320313
HB05026.015,127.790657,15.308594
HB05027.015,132.790649,15.332031
HB05028.015,137.790649,15.21875
HB05029.015,142.790649,15.128906
HB05030.015,147.790649,15.171875
HB05032.015,157.790649,15.230469
HB05033.015,162.790649,15.238281
HB05034.015,167.790649,15.175781
HB05035.015,172.790649,15.265625
HB05036.015,177.790649,15.300781
HB05038.015,197.790649,15.398438
HB05040.015,207.790649,15.324219
HB05041.015,212.790649,15.242188
HB05043.015,222.790649,14.945313
HB05609.015,235.790649,15.085938
HB05610.015,240.790649,15.082031
HB05611.015,245.790649,15.070313
HB05612.015,255.790649,14.921875
HB05614.015,265.790649,15.152344
HB05616.015,275.790649,15.136719
HB05618.015,285.790649,15.074219
HB05619.015,290.790649,15.179688
HB05620.015,295.790649,15.101563
HB05629.015,345.790649,15.027344
HB05630.015,350.790649,15.070313
HB05631.015,355.790649,14.992188
HB05632.015,0.790657,14.9375
HB05634.015,10.790657,15.171875
HB05635.015,15.790657,15.105469
HB05637.015,25.790657,15.132813
HB05642.015,60.790657,15.078125
HB05643.015,65.790657,15.007813
HB05647.015,95.790657,14.972656
HB05648.015,100.790657,15.144531
