RealFilename,TargetAz=,MeasuredDepression=
HB03333.016,215.774185,15.078125
HB03334.016,220.774185,15.167969
HB03335.016,225.774185,15.097656
HB03337.016,248.774185,15.066406
HB03338.016,253.774185,14.933594
HB03340.016,263.77417,15.234375
HB03341.016,268.77417,15.195313
HB03342.016,273.77417,15.066406
HB03343.016,278.77417,14.988281
HB03344.016,283.77417,15.082031
HB03347.016,298.77417,15.117188
HB03348.016,303.77417,15.078125
HB03351.016,318.77417,15.0625
HB03352.016,323.77417,14.980469
HB03353.016,333.77417,15.050781
HB03354.016,338.77417,15.089844
HB03355.016,358.77417,15.144531
HB03356.016,3.774181,15.199219
HB03358.016,13.774181,15.210938
HB03361.016,28.774181,15.265625
HB03363.016,48.774181,15.164063
HB03364.016,58.774181,14.972656
HB03365.016,63.774181,14.855469
HB03366.016,68.774185,14.867188
HB03367.016,73.774185,15.007813
HB03368.016,78.774185,15.089844
HB03375.016,113.774185,14.910156
HB03376.016,118.774185,14.894531
HB03377.016,123.774185,14.851563
HB03379.016,133.774185,14.929688
HB03380.016,138.774185,14.890625
HB03381.016,143.774185,14.835938
HB03382.016,148.774185,14.855469
HB03383.016,153.774185,14.945313
HB03384.016,158.774185,14.996094
HB03385.016,163.774185,15.023438
HB03386.016,168.774185,15.03125
HB03387.016,173.774185,15.007813
HB03395.016,214.774185,15.246094
HB03397.016,229.774185,15.296875
HB03398.016,234.774185,15.433594
HB03399.016,239.774185,15.296875
HB03400.016,244.774185,15.226563
HB03401.016,249.774185,15.164063
HB03402.016,254.774185,15.117188
HB03403.016,264.77417,15.113281
HB03405.016,274.77417,14.988281
HB03406.016,279.77417,15.15625
HB03407.016,284.77417,15.222656
HB03410.016,299.77417,15.144531
HB03414.016,319.77417,15.136719
HB03415.016,324.77417,15.132813
HB03416.016,339.77417,15.082031
HB03417.016,349.77417,15.121094
HB03418.016,354.77417,15.253906
HB03420.016,14.774181,15.179688
HB03422.016,34.774181,15.078125
HB03423.016,44.774181,15.25
HB03424.016,49.774181,15.074219
HB03426.016,69.774185,15.167969
HB03427.016,74.774185,15.136719
HB03428.016,79.774185,15.136719
HB03429.016,84.774185,15.105469
HB03434.016,114.774185,15.085938
HB03435.016,119.774185,15.109375
HB03436.016,124.774185,15.085938
HB03437.016,129.774185,14.96875
HB03438.016,134.774185,14.902344
HB03439.016,139.774185,14.882813
HB03440.016,144.774185,14.929688
HB03441.016,149.774185,15.117188
HB03442.016,154.774185,15.234375
HB03443.016,159.774185,15.203125
HB03444.016,164.774185,15.117188
HB03445.016,169.774185,15.089844
HB03446.016,174.774185,15.09375
HB04933.016,331.77417,15.152344
HB04934.016,341.77417,14.949219
HB04936.016,351.77417,15.289063
HB04938.016,1.774181,14.980469
HB04940.016,16.774181,14.859375
HB04945.016,41.774181,14.8125
HB04946.016,46.774181,14.796875
HB04947.016,51.774181,14.757813
HB04949.016,61.774181,14.894531
HB04950.016,66.774185,15
HB04951.016,71.774185,15.273438
HB04952.016,76.774185,15.316406
HB04954.016,86.774185,15.203125
HB04957.016,101.774185,14.996094
HB04958.016,106.774185,15.09375
HB04959.016,111.774185,15.226563
HB04961.016,121.774185,15.277344
HB04963.016,131.774185,14.949219
HB04965.016,141.774185,15.136719
HB04967.016,151.774185,14.710938
HB04968.016,156.774185,14.800781
HB04971.016,171.774185,14.722656
HB04973.016,181.774185,14.886719
HB04975.016,191.774185,15.125
HB04976.016,196.774185,14.976563
HB04977.016,207.774185,15.046875
HB04980.016,222.774185,14.882813
HB04982.016,232.774185,14.914063
HB04984.016,242.774185,15.054688
HB04985.016,247.774185,15.070313
HB04986.016,252.774185,14.890625
HB04987.016,257.77417,14.953125
HB04988.016,262.77417,15.113281
HB04989.016,267.77417,15
HB04992.016,282.77417,15.019531
HB04993.016,292.77417,15.109375
HB04997.016,317.77417,14.9375
HB04998.016,322.77417,14.992188
HB04999.016,327.77417,14.824219
HB05000.016,332.77417,14.90625
HB05001.016,337.77417,15.050781
HB05002.016,342.77417,14.976563
HB05003.016,347.77417,14.898438
HB05004.016,352.77417,15.121094
HB05006.016,2.774181,14.96875
HB05008.016,12.774181,15.179688
HB05009.016,17.774181,14.824219
HB05011.016,27.774181,14.953125
HB05012.016,32.774181,14.921875
HB05014.016,42.774181,14.847656
HB05015.016,47.774181,14.808594
HB05016.016,52.774181,14.90625
HB05017.016,57.774181,14.773438
HB05019.016,67.774185,14.824219
HB05022.016,82.774185,15.246094
HB05024.016,92.774185,15.382813
HB05025.016,97.774185,15.320313
HB05026.016,102.774185,15.308594
HB05027.016,107.774185,15.332031
HB05028.016,112.774185,15.21875
HB05029.016,117.774185,15.128906
HB05030.016,122.774185,15.171875
HB05032.016,132.774185,15.230469
HB05033.016,137.774185,15.238281
HB05034.016,142.774185,15.175781
HB05035.016,147.774185,15.265625
HB05036.016,152.774185,15.300781
HB05038.016,172.774185,15.398438
HB05040.016,182.774185,15.324219
HB05041.016,187.774185,15.242188
HB05043.016,197.774185,14.945313
HB05609.016,210.774185,15.085938
HB05610.016,215.774185,15.082031
HB05611.016,220.774185,15.070313
HB05612.016,230.774185,14.921875
HB05614.016,240.774185,15.152344
HB05616.016,250.774185,15.136719
HB05618.016,260.77417,15.074219
HB05619.016,265.77417,15.179688
HB05620.016,270.77417,15.101563
HB05629.016,320.77417,15.027344
HB05630.016,325.77417,15.070313
HB05631.016,330.77417,14.992188
HB05632.016,335.77417,14.9375
HB05634.016,345.77417,15.171875
HB05635.016,350.77417,15.105469
HB05637.016,0.774181,15.132813
HB05642.016,35.774181,15.078125
HB05643.016,40.774181,15.007813
HB05647.016,70.774185,14.972656
HB05648.016,75.774185,15.144531
HB05649.016,80.774185,15.117188
HB05650.016,85.774185,15.117188
HB05651.016,90.774185,15.179688
HB05652.016,95.774185,15.242188
HB05653.016,100.774185,15.144531
HB05654.016,110.774185,15.171875
HB05657.016,125.774185,15.078125
HB05658.016,135.774185,15.011719
HB05659.016,140.774185,15.039063
HB05660.016,145.774185,15.054688
HB05661.016,150.774185,15.015625
HB05662.016,155.774185,14.898438
HB05664.016,165.774185,14.949219
HB05665.016,170.774185,14.964844
HB05667.016,180.774185,14.828125
HB05669.016,190.774185,14.878906
HB05670.016,200.774185,14.957031
HB05671.016,216.774185,14.949219
HB05672.016,221.774185,14.859375
HB05674.016,231.774185,14.984375
HB05675.016,241.774185,15.121094
HB05676.016,246.774185,15.1875
HB05677.016,251.774185,15.160156
HB05679.016,261.77417,15.074219
HB05680.016,266.77417,15.152344
HB05681.016,271.77417,15.238281
HB05683.016,281.77417,15.1875
HB05684.016,286.77417,15.230469
HB03787.016,345.77417,17.09375
HB03788.016,350.77417,17.09375
HB03790.016,25.774181,17.363281
HB03792.016,35.774181,17.089844
HB03793.016,45.774181,16.972656
HB03794.016,50.774181,17.035156
HB03796.016,75.774185,16.949219
HB03797.016,80.774185,16.859375
HB03798.016,90.774185,16.742188
HB03799.016,95.774185,16.78125
HB03800.016,100.774185,16.757813
HB03801.016,105.774185,16.757813
HB03802.016,110.774185,16.894531
HB03803.016,115.774185,16.945313
HB03804.016,125.774185,16.824219
HB03805.016,130.774185,16.78125
HB03806.016,135.774185,16.820313
HB03807.016,145.774185,16.890625
HB03808.016,150.774185,16.816406
HB03809.016,155.774185,16.800781
HB03810.016,160.774185,16.847656
HB03811.016,165.774185,16.941406
HB03812.016,170.774185,16.902344
HB03813.016,175.774185,16.75
HB03814.016,180.774185,16.773438
HB03815.016,195.774185,17.132813
HB03817.016,211.774185,16.804688
HB03818.016,216.774185,16.871094
HB03819.016,221.774185,17.132813
HB03820.016,226.774185,17.414063
HB03821.016,231.774185,17.417969
HB03822.016,236.774185,17.210938
HB03823.016,241.774185,16.941406
HB03824.016,246.774185,16.859375
HB03825.016,251.774185,16.96875
HB03826.016,256.77417,17.050781
HB03827.016,261.77417,17.214844
HB03828.016,266.77417,17.382813
HB03829.016,271.77417,17.371094
HB03830.016,276.77417,17.367188
HB03831.016,281.77417,17.367188
HB03832.016,291.77417,17.304688
HB03833.016,311.77417,17.324219
HB03834.016,316.77417,17.253906
HB03836.016,331.77417,17.320313
HB03837.016,336.77417,17.335938
HB03838.016,341.77417,17.164063
HB03840.016,356.77417,17.289063
HB03841.016,1.774181,17.425781
HB03842.016,6.774181,17.382813
HB03843.016,11.774181,17.285156
HB03844.016,16.774181,17.238281
HB03846.016,26.774181,17.363281
HB03847.016,31.774181,17.089844
HB03848.016,36.774181,17.089844
HB03849.016,41.774181,17.253906
HB03850.016,46.774181,17.40625
HB03851.016,61.774181,17.035156
HB03852.016,66.774185,17.0625
HB03854.016,81.774185,16.933594
HB03855.016,86.774185,17
HB03856.016,91.774185,17.078125
HB03857.016,96.774185,17.070313
HB03858.016,101.774185,17.046875
HB03859.016,106.774185,17.050781
HB03860.016,111.774185,17.046875
HB03862.016,126.774185,17.191406
HB03863.016,131.774185,17.179688
HB03864.016,136.774185,17.082031
HB03865.016,141.774185,17.007813
HB03866.016,146.774185,17.042969
HB03867.016,151.774185,17.097656
HB03868.016,156.774185,17.136719
HB03869.016,161.774185,17.132813
HB03870.016,166.774185,17.101563
HB03871.016,171.774185,17.105469
HB03872.016,176.774185,17.128906
HB03873.016,181.774185,17.066406
HB03874.016,191.774185,17.039063
HB03875.016,196.774185,17.105469
HB03876.016,242.774185,17.3125
HB03877.016,247.774185,17.230469
HB03878.016,252.774185,17.265625
HB03879.016,257.77417,17.375
HB03880.016,262.77417,17.328125
HB03881.016,267.77417,17.316406
HB03882.016,272.77417,17.265625
HB03883.016,282.77417,17.199219
HB03884.016,287.77417,17.183594
HB03885.016,292.77417,17.167969
