Filename=;TargetAz=;MeasuredDepression=
 hb03333.0017;180,712433;15,078125
 hb03334.0017;185,712433;15,167969
 hb03335.0017;190,712433;15,097656
 hb03337.0017;213,712433;15,066406
 hb03338.0017;218,712433;14,933594
 hb03340.0017;228,712433;15,234375
 hb03341.0017;233,712433;15,195313
 hb03342.0017;238,712433;15,066406
 hb03343.0017;243,712433;14,988281
 hb03344.0017;248,712433;15,082031
 hb03347.0017;263,712433;15,117188
 hb03348.0017;268,712433;15,078125
 hb03351.0017;283,712433;15,0625
 hb03352.0017;288,712433;14,980469
 hb03353.0017;298,712433;15,050781
 hb03354.0017;303,712433;15,089844
 hb03355.0017;323,712433;15,144531
 hb03356.0017;328,712433;15,199219
 hb03358.0017;338,712433;15,210938
 hb03361.0017;353,712433;15,265625
 hb03363.0017;13,712435;15,164063
 hb03364.0017;23,712435;14,972656
 hb03365.0017;28,712435;14,855469
 hb03366.0017;33,712437;14,867188
 hb03367.0017;38,712437;15,007813
 hb03368.0017;43,712437;15,089844
 hb03375.0017;78,712433;14,910156
 hb03376.0017;83,712433;14,894531
 hb03377.0017;88,712433;14,851563
 hb03379.0017;98,712433;14,929688
 hb03380.0017;103,712433;14,890625
 hb03381.0017;108,712433;14,835938
 hb03382.0017;113,712433;14,855469
 hb03383.0017;118,712433;14,945313
 hb03384.0017;123,712433;14,996094
 hb03385.0017;128,712433;15,023438
 hb03386.0017;133,712433;15,03125
 hb03387.0017;138,712433;15,007813
 hb03395.0017;179,712433;15,246094
 hb03397.0017;194,712433;15,296875
 hb03398.0017;199,712433;15,433594
 hb03399.0017;204,712433;15,296875
 hb03400.0017;209,712433;15,226563
 hb03401.0017;214,712433;15,164063
 hb03402.0017;219,712433;15,117188
 hb03403.0017;229,712433;15,113281
 hb03405.0017;239,712433;14,988281
 hb03406.0017;244,712433;15,15625
 hb03407.0017;249,712433;15,222656
 hb03410.0017;264,712433;15,144531
 hb03414.0017;284,712433;15,136719
 hb03415.0017;289,712433;15,132813
 hb03416.0017;304,712433;15,082031
 hb03417.0017;314,712433;15,121094
 hb03418.0017;319,712433;15,253906
 hb03420.0017;339,712433;15,179688
 hb03422.0017;359,712433;15,078125
 hb03423.0017;9,712435;15,25
 hb03424.0017;14,712435;15,074219
 hb03426.0017;34,712437;15,167969
 hb03427.0017;39,712437;15,136719
 hb03428.0017;44,712437;15,136719
 hb03429.0017;49,712437;15,105469
 hb03434.0017;79,712433;15,085938
 hb03435.0017;84,712433;15,109375
 hb03436.0017;89,712433;15,085938
 hb03437.0017;94,712433;14,96875
 hb03438.0017;99,712433;14,902344
 hb03439.0017;104,712433;14,882813
 hb03440.0017;109,712433;14,929688
 hb03441.0017;114,712433;15,117188
 hb03442.0017;119,712433;15,234375
 hb03443.0017;124,712433;15,203125
 hb03444.0017;129,712433;15,117188
 hb03445.0017;134,712433;15,089844
 hb03446.0017;139,712433;15,09375
 hb04933.0017;296,712433;15,152344
 hb04934.0017;306,712433;14,949219
 hb04936.0017;316,712433;15,289063
 hb04938.0017;326,712433;14,980469
 hb04940.0017;341,712433;14,859375
 hb04945.0017;6,712435;14,8125
 hb04946.0017;11,712435;14,796875
 hb04947.0017;16,712435;14,757813
 hb04949.0017;26,712435;14,894531
 hb04950.0017;31,712435;15
 hb04951.0017;36,712437;15,273438
 hb04952.0017;41,712437;15,316406
 hb04954.0017;51,712437;15,203125
 hb04957.0017;66,712433;14,996094
 hb04958.0017;71,712433;15,09375
 hb04959.0017;76,712433;15,226563
 hb04961.0017;86,712433;15,277344
 hb04963.0017;96,712433;14,949219
 hb04965.0017;106,712433;15,136719
 hb04967.0017;116,712433;14,710938
 hb04968.0017;121,712433;14,800781
 hb04971.0017;136,712433;14,722656
 hb04973.0017;146,712433;14,886719
 hb04977.0017;172,712433;15,046875
 hb04980.0017;187,712433;14,882813
 hb04982.0017;197,712433;14,914063
